Label,char_count,word_count,title_word_count,stopword_count,upper_case,subjectivity,polarity,noun_count,conjuction_count,adjective_count,pronoun_count,adverb_count,prepositions_count,verb_count
Real,18448,2466,7,81,1427,0.3776607915893629,0.07186456400742118,1385,371,163,123,65,47,271
Real,1449,255,16,38,65,0.3563795853269537,0.10673843700159492,89,29,12,11,16,7,40
Real,7455,1264,10,78,156,0.4501593550806149,0.026007686539182603,388,164,123,94,75,41,228
Real,4870,792,6,62,89,0.4271556579621096,0.008723583763906336,243,100,89,60,27,22,158
Real,6327,1109,8,82,164,0.5723601432442896,0.07003968253968254,315,131,84,92,74,44,214
Real,19359,3217,14,100,432,0.4459455601425801,0.0407400041092094,1014,395,303,181,182,114,629
Real,47762,7500,5,107,1006,0.4364540765211709,0.08103153976841251,2092,935,840,282,454,260,1287
Real,6271,1099,12,78,171,0.5104793104793105,0.06494237744237742,317,124,82,96,66,31,212
Real,41573,7082,6,112,925,0.4854236483043762,0.04525001653034001,1912,862,694,426,403,186,1308
Real,721,121,10,26,39,0.4262878787878788,0.10863636363636364,53,10,9,13,4,7,30
Real,7725,1290,7,82,135,0.4527327866352258,0.01866897781531928,365,148,113,97,73,30,237
Real,6360,1052,9,81,172,0.4310121872772475,0.050794693927224036,350,130,95,99,47,28,226
Real,6237,1040,13,70,132,0.4712373737373738,0.14378787878787874,315,116,106,55,48,26,183
Real,503,87,7,28,19,0.73125,0.26875,22,12,7,10,4,4,16
Real,6973,1156,14,82,149,0.5025866281866281,0.0395060125060125,380,153,93,62,67,37,222
Real,4561,719,9,60,124,0.391012242965368,0.11146847943722946,236,95,67,19,28,23,125
,2117,340,4,49,65,0.517016317016317,0.28837412587412586,123,46,29,13,12,9,61
,4272,741,13,76,91,0.4600703463203463,0.06559253246753245,210,97,62,56,48,15,152
,3720,588,7,55,110,0.4698717948717946,0.026762820512820508,195,82,56,49,26,11,102
,13247,2275,14,88,376,0.4974834411620127,0.08775002576788292,754,282,204,188,130,64,483
,4757,779,13,63,172,0.4729766335029494,0.1502395508974456,328,93,57,52,34,17,147
Fake,7594,1244,16,84,238,0.42639749770431584,0.08847976518431065,432,165,78,87,68,47,262
Fake,3525,577,14,61,111,0.4501207409370674,0.09526165444532793,198,63,56,30,25,22,106
Fake,3711,629,12,71,164,0.3823015873015873,0.13264285714285712,208,71,45,29,26,17,133
Fake,3535,564,14,57,158,0.3979307783719547,0.03339720736779562,211,70,38,25,15,18,103
Fake,1396,217,12,37,53,0.20208333333333334,0.004166666666666668,87,26,19,12,14,2,41
Fake,2617,430,10,53,120,0.4573949579831933,0.125031512605042,143,60,36,40,22,8,97
Fake,2557,443,14,49,82,0.5030434782608695,0.07865942028985505,161,53,29,37,20,15,92
Fake,1165,199,9,36,45,0.37862318840579706,0.013768115942028985,74,22,15,15,15,6,43
Fake,3396,575,14,64,120,0.4918095238095239,0.08472727272727272,198,66,44,28,39,19,106
Fake,2859,494,14,67,76,0.48797258297258295,-0.02005772005772005,156,49,40,15,30,16,99
Fake,540,95,8,26,14,0.32548611111111114,-0.06569444444444444,28,10,10,4,2,5,22
Fake,5926,1046,11,75,165,0.4824650156045507,0.022282417195207883,337,130,100,117,49,20,210
Fake,9283,1668,14,87,244,0.4962652717652716,0.0799502164502164,517,197,144,165,80,47,340
Fake,8376,1299,21,77,345,0.4521684737281069,0.04005967274315898,545,132,126,46,40,47,231
Fake,2160,364,20,49,112,0.3490058479532163,0.011520467836257304,148,44,29,30,12,4,66
Fake,986,171,9,36,28,0.607037037037037,0.2890909090909092,59,23,16,10,11,3,40
Fake,762,135,11,29,22,0.5849537037037037,-0.24050925925925926,42,14,12,5,7,4,27
Fake,1902,299,8,38,71,0.3118939393939394,0.028901515151515143,141,43,32,7,5,4,49
